RedemptionID,CustomerID,UsedCouponID,DiscountAmount,RedemptionDate
REDDEDXXID72,CUSTIDXX-54348,12282IP6,87,2019-05-30
REDDEDXXID73,CUSTIDXX-54692,985X87D0,185,2019-08-23
REDDEDXXID74,CUSTIDXX-44783,5XD103I2,6,2020-09-10
REDDEDXXID75,CUSTIDXX-39929,CN4P4104,175,2022-03-14
REDDEDXXID76,CUSTIDXX-11876,07P68U14,145,2020-06-21
REDDEDXXID77,CUSTIDXX-60043,46PC5197,92,2022-11-09
REDDEDXXID78,CUSTIDXX-96436,PD02C90P,122,2020-04-28
REDDEDXXID79,CUSTIDXX-66090,3UIX9PU9,125,2019-04-27
REDDEDXXID80,CUSTIDXX-39663,IXXUX559,36,2018-03-24
REDDEDXXID81,CUSTIDXX-73698,N5D2CPPP,113,2020-09-25
REDDEDXXID82,CUSTIDXX-98621,1X8C0UP7,131,2022-07-20
REDDEDXXID83,CUSTIDXX-47174,2231X9X7,148,2022-08-12
REDDEDXXID84,CUSTIDXX-98069,1D6C563U,25,2018-05-14
REDDEDXXID85,CUSTIDXX-42357,6UX8P1XD,79,2023-03-19
REDDEDXXID86,CUSTIDXX-45673,C3XNPPN3,28,2021-01-29
REDDEDXXID87,CUSTIDXX-19419,D0CXDPP1,43,2022-05-14
REDDEDXXID88,CUSTIDXX-30754,932ICUIN,194,2019-10-10
REDDEDXXID89,CUSTIDXX-12020,U6IU5IXP,29,2019-07-01
REDDEDXXID90,CUSTIDXX-92182,8C09C0U1,129,2021-10-11
REDDEDXXID91,CUSTIDXX-56765,0UXX12N8,14,2020-04-10
REDDEDXXID92,CUSTIDXX-50988,475C7U5C,71,2023-02-03
REDDEDXXID93,CUSTIDXX-72886,8302X2C4,17,2018-06-16
REDDEDXXID94,CUSTIDXX-89138,9636X44C,26,2019-11-26
REDDEDXXID95,CUSTIDXX-43694,1922145I,171,2018-07-12
REDDEDXXID96,CUSTIDXX-62662,U1I4UIIX,153,2021-06-13
REDDEDXXID97,CUSTIDXX-72697,4CUX5942,178,2020-10-05
REDDEDXXID98,CUSTIDXX-30138,34NC0C7D,56,2018-04-23
REDDEDXXID99,CUSTIDXX-82491,7C60986X,36,2021-03-21
REDDEDXXID100,CUSTIDXX-51374,XUDX22N0,88,2018-07-21
REDDEDXXID101,CUSTIDXX-96760,41522X87,119,2024-03-08
REDDEDXXID102,CUSTIDXX-48005,P407N2IN,139,2019-06-18
REDDEDXXID103,CUSTIDXX-21667,5PN05NPN,55,2018-08-07
REDDEDXXID104,CUSTIDXX-72055,NPD3I0U4,161,2020-07-02
REDDEDXXID105,CUSTIDXX-57050,30U7757C,90,2019-01-06
REDDEDXXID106,CUSTIDXX-64130,NI84DDN5,171,2021-10-23
REDDEDXXID107,CUSTIDXX-96449,13D0NN83,39,2021-07-01
REDDEDXXID108,CUSTIDXX-42229,N8PP27I1,60,2018-08-24
REDDEDXXID109,CUSTIDXX-74286,N10U6DCX,169,2022-05-17
REDDEDXXID110,CUSTIDXX-18063,P7C78DN2,13,2020-03-02
REDDEDXXID111,CUSTIDXX-50850,45C72NXD,177,2021-05-16
REDDEDXXID112,CUSTIDXX-20657,5DC77091,147,2018-12-11
REDDEDXXID113,CUSTIDXX-9405,NP1XI52I,53,2024-01-16
REDDEDXXID114,CUSTIDXX-74011,I65CC73N,50,2023-10-12
REDDEDXXID115,CUSTIDXX-21327,16X5571N,196,2019-08-04
REDDEDXXID116,CUSTIDXX-77515,1690X95I,119,2018-09-23
REDDEDXXID117,CUSTIDXX-20475,X5695C02,141,2021-01-10
REDDEDXXID118,CUSTIDXX-92849,3C6IN3X0,174,2021-09-28
REDDEDXXID119,CUSTIDXX-2116,6N151X8D,26,2023-07-20
REDDEDXXID120,CUSTIDXX-72609,X6X2U2X1,138,2020-03-08
REDDEDXXID121,CUSTIDXX-56431,317U7129,68,2022-10-27
REDDEDXXID122,CUSTIDXX-92394,6D2C5551,45,2020-10-08
REDDEDXXID123,CUSTIDXX-87228,XX1X2U57,170,2020-02-05
REDDEDXXID124,CUSTIDXX-20092,989IDIXC,19,2019-09-27
REDDEDXXID125,CUSTIDXX-36984,89XPPXC2,51,2024-01-22
REDDEDXXID126,CUSTIDXX-55165,838C6969,141,2020-11-30
REDDEDXXID127,CUSTIDXX-99249,546648X3,185,2018-09-24
REDDEDXXID128,CUSTIDXX-4208,UXD8XN5I,162,2021-10-10
REDDEDXXID129,CUSTIDXX-50962,6CCI2XP4,129,2024-03-11
REDDEDXXID130,CUSTIDXX-70781,36DUI99X,118,2019-08-03
REDDEDXXID131,CUSTIDXX-94654,3578UC04,154,2022-09-28
REDDEDXXID132,CUSTIDXX-15322,2C65NXP9,154,2023-01-26
REDDEDXXID133,CUSTIDXX-46927,C75DD607,164,2021-05-23
REDDEDXXID134,CUSTIDXX-59000,IU9053U2,183,2021-05-16
REDDEDXXID135,CUSTIDXX-40805,X4X01798,142,2021-07-28
REDDEDXXID136,CUSTIDXX-23753,N918PUX7,28,2020-10-22
REDDEDXXID137,CUSTIDXX-95280,922I55X7,28,2021-03-19
REDDEDXXID138,CUSTIDXX-69138,8X12DX0U,183,2022-10-19
REDDEDXXID139,CUSTIDXX-59522,82IU2015,89,2021-07-11
REDDEDXXID140,CUSTIDXX-49252,U5NCD56C,81,2022-09-06
REDDEDXXID141,CUSTIDXX-47730,I608P369,35,2020-10-25
REDDEDXXID142,CUSTIDXX-94745,P7X7UC4N,163,2022-05-05
REDDEDXXID143,CUSTIDXX-75808,2796NPPP,83,2020-07-10
REDDEDXXID144,CUSTIDXX-36330,3NI9D399,34,2023-12-28
REDDEDXXID145,CUSTIDXX-47689,818IUI4X,122,2024-01-21
REDDEDXXID146,CUSTIDXX-84624,1X8P8U7N,120,2022-10-12
REDDEDXXID147,CUSTIDXX-94192,075CXD9P,122,2021-04-19
REDDEDXXID148,CUSTIDXX-13765,UXIX6DI4,161,2020-03-21
REDDEDXXID149,CUSTIDXX-33728,48C4C498,70,2023-03-02
REDDEDXXID150,CUSTIDXX-69505,N54XUX18,73,2021-12-02
REDDEDXXID151,CUSTIDXX-87834,U5CP6D15,87,2022-07-24
REDDEDXXID152,CUSTIDXX-84170,05I57C6N,58,2021-12-09
REDDEDXXID153,CUSTIDXX-36476,C67636C4,17,2019-12-29
REDDEDXXID154,CUSTIDXX-91480,X09U78XU,44,2020-06-30
REDDEDXXID155,CUSTIDXX-37536,6PC02990,190,2021-02-10
REDDEDXXID156,CUSTIDXX-38976,X572UCPU,93,2021-03-13
REDDEDXXID157,CUSTIDXX-69190,UUD41235,47,2018-10-03
REDDEDXXID158,CUSTIDXX-7122,C3652C5X,174,2019-05-16
REDDEDXXID159,CUSTIDXX-80476,U2D3I618,156,2020-07-01
REDDEDXXID160,CUSTIDXX-20435,4XDX3D01,117,2022-03-22
REDDEDXXID161,CUSTIDXX-85799,CXN80106,42,2022-02-23
REDDEDXXID162,CUSTIDXX-94615,CX6XU7N4,62,2022-02-02
REDDEDXXID163,CUSTIDXX-46864,CPUUP3D7,79,2024-03-04
REDDEDXXID164,CUSTIDXX-61776,X22CN834,153,2021-03-03
REDDEDXXID165,CUSTIDXX-56905,XUX4639X,182,2021-11-10
REDDEDXXID166,CUSTIDXX-78524,589DI964,83,2021-04-16
REDDEDXXID167,CUSTIDXX-23557,69XCI9PI,148,2020-03-25
REDDEDXXID168,CUSTIDXX-6333,63419U13,111,2020-08-05
REDDEDXXID169,CUSTIDXX-25338,P5CPUD67,133,2019-06-02
REDDEDXXID170,CUSTIDXX-61547,N9N576PN,174,2023-12-23
REDDEDXXID171,CUSTIDXX-13720,2CCC1662,32,2023-05-23
REDDEDXXID172,CUSTIDXX-24162,16C714D9,199,2019-03-15
REDDEDXXID173,CUSTIDXX-6610,N2C853XX,30,2018-10-18
REDDEDXXID174,CUSTIDXX-12548,01CX68X2,11,2023-07-23
REDDEDXXID175,CUSTIDXX-46803,77563UCP,25,2019-09-09
REDDEDXXID176,CUSTIDXX-40667,2X83D2X7,192,2023-01-27
REDDEDXXID177,CUSTIDXX-76678,UNX4NP7X,172,2019-11-23
REDDEDXXID178,CUSTIDXX-85924,449N0NX7,29,2018-12-09
REDDEDXXID179,CUSTIDXX-68725,XDXI34X4,38,2023-11-27
REDDEDXXID180,CUSTIDXX-69513,XXX37U1N,187,2019-05-20
REDDEDXXID181,CUSTIDXX-2507,52096XIN,175,2022-03-31
REDDEDXXID182,CUSTIDXX-57696,XUI66XCX,82,2020-01-29
REDDEDXXID183,CUSTIDXX-12573,IX51NX2X,104,2020-09-26
REDDEDXXID184,CUSTIDXX-84838,4U8X3128,52,2021-08-13
REDDEDXXID185,CUSTIDXX-90135,886N9DUU,106,2020-04-26
REDDEDXXID186,CUSTIDXX-66313,X12D47PU,79,2019-03-18
REDDEDXXID187,CUSTIDXX-77201,374N34C8,101,2020-01-09
REDDEDXXID188,CUSTIDXX-72401,X98CN7CD,90,2023-08-18
REDDEDXXID189,CUSTIDXX-59666,PXC49827,47,2023-10-30
REDDEDXXID190,CUSTIDXX-42414,83NPDIX3,138,2023-04-10
REDDEDXXID191,CUSTIDXX-98948,6UCD75UU,59,2022-01-15
REDDEDXXID192,CUSTIDXX-70122,DU5PX282,126,2023-10-22
REDDEDXXID193,CUSTIDXX-94207,7DI2546X,36,2021-08-12
REDDEDXXID194,CUSTIDXX-31801,8X34PX45,26,2019-03-02
REDDEDXXID195,CUSTIDXX-59190,0998I83D,148,2022-11-04
REDDEDXXID196,CUSTIDXX-76500,U5N2I2U5,97,2021-03-22
REDDEDXXID197,CUSTIDXX-62600,XP5U1CNN,142,2024-02-13
REDDEDXXID198,CUSTIDXX-35007,ID6187I5,153,2021-09-11
REDDEDXXID199,CUSTIDXX-37562,3146039D,175,2019-12-06
REDDEDXXID200,CUSTIDXX-11479,11U848N9,85,2022-03-20
REDDEDXXID201,CUSTIDXX-80611,3XCP840D,63,2020-11-18
REDDEDXXID202,CUSTIDXX-55314,U8U3U371,62,2022-07-06
REDDEDXXID203,CUSTIDXX-70068,4IPN66I2,126,2019-07-16
REDDEDXXID204,CUSTIDXX-88307,INP7963D,100,2018-09-16
REDDEDXXID205,CUSTIDXX-32121,IXII4X2N,42,2022-11-24
REDDEDXXID206,CUSTIDXX-84246,U0U83U0D,103,2023-02-28
REDDEDXXID207,CUSTIDXX-84431,X346505X,122,2019-09-30
REDDEDXXID208,CUSTIDXX-15576,U8P1N169,159,2020-08-16
REDDEDXXID209,CUSTIDXX-97636,9U54I07C,19,2018-11-11
REDDEDXXID210,CUSTIDXX-94290,P77XDD0N,66,2019-10-12
REDDEDXXID211,CUSTIDXX-44848,5538N43C,14,2020-02-16
REDDEDXXID212,CUSTIDXX-94459,9IC39PD8,95,2018-11-03
REDDEDXXID213,CUSTIDXX-52264,1233D22D,116,2018-11-04
REDDEDXXID214,CUSTIDXX-90336,P49I333D,100,2023-04-18
REDDEDXXID215,CUSTIDXX-29734,0I36X6I2,7,2021-11-20
REDDEDXXID216,CUSTIDXX-48017,D3XN09CD,151,2020-04-16
REDDEDXXID217,CUSTIDXX-64121,IXNUXC55,173,2021-01-05
REDDEDXXID218,CUSTIDXX-78977,35XXI19X,119,2023-12-02
REDDEDXXID219,CUSTIDXX-66435,190D37UP,93,2021-03-29
REDDEDXXID220,CUSTIDXX-42153,X7P6X75P,72,2018-07-22
REDDEDXXID221,CUSTIDXX-1336,N3CXU597,49,2018-05-16
REDDEDXXID222,CUSTIDXX-69153,N78NXX28,27,2020-08-09
REDDEDXXID223,CUSTIDXX-388,9CC65PDP,132,2019-04-21
REDDEDXXID224,CUSTIDXX-67325,D1C5NX0P,86,2022-03-11
REDDEDXXID225,CUSTIDXX-17694,C0I6NUX6,17,2021-11-22
REDDEDXXID226,CUSTIDXX-2195,PDN79C7P,127,2021-08-21
REDDEDXXID227,CUSTIDXX-33091,49X865X2,40,2024-01-26
REDDEDXXID228,CUSTIDXX-75029,UN355D24,61,2019-04-08
REDDEDXXID229,CUSTIDXX-74122,0061D2U2,35,2021-02-25
REDDEDXXID230,CUSTIDXX-87467,IDDX12X2,25,2022-05-03
REDDEDXXID231,CUSTIDXX-60678,32I3D7X8,158,2020-10-11
REDDEDXXID232,CUSTIDXX-14434,7NC84DIC,175,2021-08-12
REDDEDXXID233,CUSTIDXX-8559,2NP616D1,85,2018-05-20
REDDEDXXID234,CUSTIDXX-66540,2833X7N6,13,2019-09-11
REDDEDXXID235,CUSTIDXX-72985,2X7I1U78,136,2020-04-28
REDDEDXXID236,CUSTIDXX-67042,D81CX949,43,2022-07-12
REDDEDXXID237,CUSTIDXX-19844,N7X9XU86,186,2022-02-15
REDDEDXXID238,CUSTIDXX-29712,2P5CP58C,49,2019-07-24
REDDEDXXID239,CUSTIDXX-37678,I495D79P,17,2022-05-28
REDDEDXXID240,CUSTIDXX-97009,52065XND,197,2019-03-05
REDDEDXXID241,CUSTIDXX-1282,07I7U75P,52,2019-04-27
REDDEDXXID242,CUSTIDXX-23669,N9I9680I,155,2021-10-20
REDDEDXXID243,CUSTIDXX-30210,DXI1PXIC,9,2020-11-03
REDDEDXXID244,CUSTIDXX-47426,XC2N2X13,45,2021-09-03
REDDEDXXID245,CUSTIDXX-93682,8559956U,51,2023-12-09
REDDEDXXID246,CUSTIDXX-19540,8N3847I7,165,2018-06-28
REDDEDXXID247,CUSTIDXX-27506,9N24DD91,39,2020-08-17
REDDEDXXID248,CUSTIDXX-49292,0U06311U,164,2018-11-20
REDDEDXXID249,CUSTIDXX-60213,9I346741,46,2019-11-28
REDDEDXXID250,CUSTIDXX-97776,0NCPI5D0,19,2022-11-08
REDDEDXXID251,CUSTIDXX-13443,XP3PX480,144,2021-09-17
REDDEDXXID252,CUSTIDXX-4760,X8X908X7,197,2021-12-15
REDDEDXXID253,CUSTIDXX-10231,8N3NXPPI,119,2021-12-12
REDDEDXXID254,CUSTIDXX-18241,UDNP60X4,12,2022-11-30
REDDEDXXID255,CUSTIDXX-6300,4N4NCPU5,46,2021-05-07
REDDEDXXID256,CUSTIDXX-52530,0PDU4P97,136,2021-02-24
REDDEDXXID257,CUSTIDXX-60756,38N95D4U,34,2021-12-31
REDDEDXXID258,CUSTIDXX-15030,X5IX3XC4,118,2021-02-14
REDDEDXXID259,CUSTIDXX-14481,P9896IUD,46,2018-06-02
REDDEDXXID260,CUSTIDXX-54202,UU12N5P5,52,2023-12-05
REDDEDXXID261,CUSTIDXX-1563,2X7X2763,28,2020-09-15
REDDEDXXID262,CUSTIDXX-93709,1C456X59,81,2022-01-10
REDDEDXXID263,CUSTIDXX-31873,2X28DD31,83,2018-06-23
REDDEDXXID264,CUSTIDXX-17573,X4DXXX5C,183,2020-12-02
REDDEDXXID265,CUSTIDXX-72056,CD6PD348,72,2018-05-28
REDDEDXXID266,CUSTIDXX-80885,XI1C7X3C,75,2019-12-05
REDDEDXXID267,CUSTIDXX-74603,3X3CD2X6,101,2020-04-02
REDDEDXXID268,CUSTIDXX-6437,1P9PP7DI,89,2019-12-04
REDDEDXXID269,CUSTIDXX-36797,9X3P2550,134,2021-02-01
REDDEDXXID270,CUSTIDXX-68925,CX84ND75,91,2018-08-16
REDDEDXXID271,CUSTIDXX-46836,6N71X0U5,27,2019-06-08
REDDEDXXID272,CUSTIDXX-1479,U826DX8P,103,2022-11-14
REDDEDXXID273,CUSTIDXX-23953,D8XIUC7U,179,2021-02-12
REDDEDXXID274,CUSTIDXX-50177,7XD29760,53,2024-01-28
REDDEDXXID275,CUSTIDXX-40488,X3440DC7,29,2020-02-17
REDDEDXXID276,CUSTIDXX-13869,995370XN,78,2020-10-30
REDDEDXXID277,CUSTIDXX-79075,PDD62N82,196,2021-09-09
REDDEDXXID278,CUSTIDXX-76890,DX4ID142,85,2020-01-27
REDDEDXXID279,CUSTIDXX-76286,X9CN099C,187,2020-04-18
REDDEDXXID280,CUSTIDXX-7898,6P4822X9,33,2022-05-27
REDDEDXXID281,CUSTIDXX-85475,PP40X6P5,107,2023-06-09
REDDEDXXID282,CUSTIDXX-17703,19U2X80D,71,2023-12-21
REDDEDXXID283,CUSTIDXX-61991,8208DXX3,87,2023-05-08
REDDEDXXID284,CUSTIDXX-91108,2N48530D,36,2019-03-24
REDDEDXXID285,CUSTIDXX-96614,5PXXC026,180,2018-04-18
REDDEDXXID286,CUSTIDXX-84566,XP5D1998,145,2021-06-17
REDDEDXXID287,CUSTIDXX-7022,CNC3XNXX,199,2022-05-03
REDDEDXXID288,CUSTIDXX-88234,1D6N51CU,137,2020-10-16
REDDEDXXID289,CUSTIDXX-92635,1P4126XC,170,2022-03-16
REDDEDXXID290,CUSTIDXX-1796,5503256U,141,2023-06-19
REDDEDXXID291,CUSTIDXX-77787,D99CCXXP,43,2019-06-23
REDDEDXXID292,CUSTIDXX-28706,8PD53D34,72,2024-01-18
REDDEDXXID293,CUSTIDXX-55571,D1DU907X,142,2020-11-28
REDDEDXXID294,CUSTIDXX-43530,86X81464,51,2022-09-24
REDDEDXXID295,CUSTIDXX-43877,N95C644I,77,2019-10-30
REDDEDXXID296,CUSTIDXX-91297,XP8IC14P,120,2020-11-05
REDDEDXXID297,CUSTIDXX-50234,9PX080IP,79,2018-05-16
REDDEDXXID298,CUSTIDXX-91768,971DCXPU,131,2020-02-18
REDDEDXXID299,CUSTIDXX-82870,X6427962,117,2021-11-27
REDDEDXXID300,CUSTIDXX-71571,PXID95PC,50,2023-08-13
REDDEDXXID301,CUSTIDXX-52869,CCC30P17,119,2021-08-25
REDDEDXXID302,CUSTIDXX-28651,398DX413,55,2020-05-10
REDDEDXXID303,CUSTIDXX-35037,D73U52UI,52,2020-03-04
REDDEDXXID304,CUSTIDXX-12937,N63NI763,69,2023-07-06
REDDEDXXID305,CUSTIDXX-85961,I196064D,13,2023-03-02
REDDEDXXID306,CUSTIDXX-59110,DCUI6X3X,144,2023-09-27
REDDEDXXID307,CUSTIDXX-26941,8UDDXDID,40,2019-09-10
REDDEDXXID308,CUSTIDXX-16178,DN04P4XP,185,2022-01-17
REDDEDXXID309,CUSTIDXX-41113,U4P34I40,114,2020-05-30
REDDEDXXID310,CUSTIDXX-2773,440X56CN,23,2021-11-23
REDDEDXXID311,CUSTIDXX-3876,PX17UP07,151,2018-03-25
REDDEDXXID312,CUSTIDXX-16661,0PID0N2N,52,2019-08-28
REDDEDXXID313,CUSTIDXX-99774,NI5N8053,196,2021-07-06
REDDEDXXID314,CUSTIDXX-67955,N623D3X2,135,2022-06-04
REDDEDXXID315,CUSTIDXX-82338,88CNX7XX,158,2023-01-20
REDDEDXXID316,CUSTIDXX-35973,U2D656U7,11,2020-08-18
REDDEDXXID317,CUSTIDXX-93786,14816643,170,2019-02-23
REDDEDXXID318,CUSTIDXX-59231,4X697CNU,138,2019-08-17
REDDEDXXID319,CUSTIDXX-20337,926UX478,82,2024-03-19
REDDEDXXID320,CUSTIDXX-40074,9X78X3CP,44,2018-07-06
REDDEDXXID321,CUSTIDXX-42470,0C67P46N,42,2023-08-12
REDDEDXXID322,CUSTIDXX-89477,933X271I,46,2022-09-15
REDDEDXXID323,CUSTIDXX-43485,832I6XPD,94,2019-01-18
REDDEDXXID324,CUSTIDXX-23475,990538ND,165,2020-08-28
REDDEDXXID325,CUSTIDXX-56374,944609D8,12,2023-09-13
REDDEDXXID326,CUSTIDXX-52430,783199D9,48,2020-05-23
REDDEDXXID327,CUSTIDXX-35544,33X37D21,158,2020-08-26
REDDEDXXID328,CUSTIDXX-42554,6P3821CD,13,2023-07-16
REDDEDXXID329,CUSTIDXX-53003,X5P3IDIC,172,2023-04-13
REDDEDXXID330,CUSTIDXX-26034,XI7188IX,194,2020-02-11
REDDEDXXID331,CUSTIDXX-90535,88X9X0N2,137,2022-11-18
REDDEDXXID332,CUSTIDXX-77317,7XUP18NP,40,2019-02-15
REDDEDXXID333,CUSTIDXX-47387,7XP44D6C,176,2019-01-01
REDDEDXXID334,CUSTIDXX-97699,5XX2508P,159,2022-02-01
REDDEDXXID335,CUSTIDXX-17428,3547U573,108,2023-09-19
REDDEDXXID336,CUSTIDXX-51032,5I7U6P9N,197,2021-06-19
REDDEDXXID337,CUSTIDXX-50132,71P101C8,73,2020-01-25
REDDEDXXID338,CUSTIDXX-82742,UCXU2INX,32,2018-08-20
REDDEDXXID339,CUSTIDXX-7717,D0U3NU34,148,2022-01-30
REDDEDXXID340,CUSTIDXX-26617,D3U6C4ID,113,2021-03-23
REDDEDXXID341,CUSTIDXX-79943,I51058P0,23,2020-01-06
REDDEDXXID342,CUSTIDXX-23403,46U5CC4I,142,2021-07-23
REDDEDXXID343,CUSTIDXX-66813,402U4XC4,157,2020-05-25
REDDEDXXID344,CUSTIDXX-94,7D96U43I,51,2018-05-17
REDDEDXXID345,CUSTIDXX-84688,3D31X1UU,14,2021-06-30
REDDEDXXID346,CUSTIDXX-73461,4U073CC0,76,2021-04-14
REDDEDXXID347,CUSTIDXX-1199,8D39N2X6,54,2024-02-24
REDDEDXXID348,CUSTIDXX-91389,46C24N81,79,2018-06-06
REDDEDXXID349,CUSTIDXX-93546,0C3XP1N4,177,2021-04-05
REDDEDXXID350,CUSTIDXX-34202,6CUD3U91,42,2020-11-05
REDDEDXXID351,CUSTIDXX-83545,D0PC148D,24,2018-10-18
REDDEDXXID352,CUSTIDXX-52494,9C12X837,155,2023-07-18
REDDEDXXID353,CUSTIDXX-42232,1UD59813,31,2019-12-05
REDDEDXXID354,CUSTIDXX-70825,7IP198IP,139,2020-10-01
REDDEDXXID355,CUSTIDXX-90192,6U11XXDD,6,2019-04-28
REDDEDXXID356,CUSTIDXX-66269,PX7I541C,137,2021-07-30
REDDEDXXID357,CUSTIDXX-18257,29P973PX,185,2020-08-23
REDDEDXXID358,CUSTIDXX-65315,71C35I28,31,2020-01-27
REDDEDXXID359,CUSTIDXX-21766,XX40UII4,67,2019-09-15
REDDEDXXID360,CUSTIDXX-58469,15UX8DP3,160,2018-05-13
REDDEDXXID361,CUSTIDXX-98313,903392C4,21,2021-11-27
REDDEDXXID362,CUSTIDXX-52518,90CCNXI2,150,2022-12-24
REDDEDXXID363,CUSTIDXX-91316,51XN7I55,62,2020-08-21
REDDEDXXID364,CUSTIDXX-40231,7DU38U36,42,2020-10-03
REDDEDXXID365,CUSTIDXX-84904,25N2ICNX,79,2019-07-21
