,CouponID,CouponCode,Discount,ExpiryDate,Status
116,CUPNXX-ID117,050Tnf9z,6%,2024-11-09,Used
117,CUPNXX-ID118,VHvhUUJB,20%,2025-03-01,Unused
118,CUPNXX-ID119,bZVauVRq,24%,2024-09-15,Active
119,CUPNXX-ID120,hco6BTAp,48%,2025-12-02,Active
120,CUPNXX-ID121,KvoDl0Qo,35%,2025-10-24,Unused
121,CUPNXX-ID122,xAfbaNJ2,46%,2025-12-27,Used
122,CUPNXX-ID123,Uz6SnVY8,39%,2025-09-14,Unused
123,CUPNXX-ID124,ya8fRiHn,25%,2024-04-06,Used
124,CUPNXX-ID125,BcO91S2L,44%,2025-08-17,Unused
125,CUPNXX-ID126,26WIPeOm,10%,2025-10-23,Used
126,CUPNXX-ID127,3CJLjozf,40%,2025-06-21,Used
127,CUPNXX-ID128,050Tnf9z,17%,2025-06-01,Unused
128,CUPNXX-ID129,plpAQqfp,10%,2024-03-28,Unused
129,CUPNXX-ID130,a5pqIIA3,17%,2025-06-01,Unused
130,CUPNXX-ID131,etXMIli-,9%,2025-06-24,Active
131,CUPNXX-ID132,eKAbZjaL,36%,2024-12-11,Unused
132,CUPNXX-ID133,#NAME?,19%,2024-07-16,Used
133,CUPNXX-ID134,pUklKslA,29%,2026-01-17,Active
134,CUPNXX-ID135,C9uHmutp,34%,2025-08-14,Used
135,CUPNXX-ID136,oTL7hUCP,37%,2024-10-11,Unused
136,CUPNXX-ID137,VHvhUUJB,25%,2024-08-20,Active
137,CUPNXX-ID138,QcP3Lwt7,36%,2025-12-28,Used
138,CUPNXX-ID139,w7rTDJBF,19%,2024-07-29,Active
139,CUPNXX-ID140,aqKkEP7q,17%,2025-04-22,Used
140,CUPNXX-ID141,vq8a5G9r,50%,2025-02-23,Unused
141,CUPNXX-ID142,_8_zA-j4,16%,2024-05-08,Used
142,CUPNXX-ID143,f959hraT,38%,2025-05-30,Unused
143,CUPNXX-ID144,pUklKslA,24%,2024-06-15,Unused
144,CUPNXX-ID145,i8qksTR7,37%,2025-05-06,Active
145,CUPNXX-ID146,3CJLjozf,6%,2025-11-03,Unused
146,CUPNXX-ID147,C9uHmutp,11%,2025-06-07,Unused
147,CUPNXX-ID148,YJ_RtCzG,38%,2024-04-11,Active
148,CUPNXX-ID149,I-Kbebw-,30%,2025-06-28,Used
149,CUPNXX-ID150,vq8a5G9r,28%,2024-11-14,Used
150,CUPNXX-ID151,pUklKslA,12%,2024-12-13,Active
151,CUPNXX-ID152,bZVauVRq,45%,2024-03-26,Unused
152,CUPNXX-ID153,_8_zA-j4,22%,2024-12-01,Active
153,CUPNXX-ID154,Uz6SnVY8,44%,2025-03-01,Active
154,CUPNXX-ID155,BS6iX0H0,43%,2024-06-30,Unused
155,CUPNXX-ID156,I-Kbebw-,19%,2025-10-12,Active
156,CUPNXX-ID157,eKAbZjaL,29%,2024-05-26,Unused
157,CUPNXX-ID158,Uz6SnVY8,7%,2025-08-03,Active
158,CUPNXX-ID159,C9uHmutp,28%,2024-04-01,Unused
159,CUPNXX-ID160,km5XwyGy,14%,2024-12-27,Used
160,CUPNXX-ID161,aqKkEP7q,21%,2024-08-21,Unused
161,CUPNXX-ID162,YJ_RtCzG,11%,2025-03-01,Unused
162,CUPNXX-ID163,UwrUxelq,37%,2025-03-14,Unused
163,CUPNXX-ID164,hco6BTAp,29%,2024-05-07,Used
164,CUPNXX-ID165,26WIPeOm,50%,2024-09-14,Unused
165,CUPNXX-ID166,bZVauVRq,46%,2025-01-16,Active
166,CUPNXX-ID167,hco6BTAp,41%,2024-05-18,Used
167,CUPNXX-ID168,qI-LOnNP,44%,2025-02-01,Active
168,CUPNXX-ID169,i8qksTR7,33%,2024-04-20,Used
169,CUPNXX-ID170,LPLihMXi,42%,2024-11-15,Active
170,CUPNXX-ID171,KLRyJRFm,48%,2024-09-26,Used
171,CUPNXX-ID172,plpAQqfp,26%,2024-04-19,Unused
172,CUPNXX-ID173,3CJLjozf,15%,2025-11-22,Used
173,CUPNXX-ID174,KvoDl0Qo,4%,2024-09-12,Unused
174,CUPNXX-ID175,km5XwyGy,33%,2025-08-12,Used
175,CUPNXX-ID176,4GhUfOIC,36%,2025-02-19,Unused
176,CUPNXX-ID177,qI-LOnNP,16%,2025-06-13,Used
177,CUPNXX-ID178,LPLihMXi,34%,2026-03-22,Unused
178,CUPNXX-ID179,7ZrBeuaZ,41%,2025-12-13,Used
179,CUPNXX-ID180,KvoDl0Qo,11%,2025-12-20,Unused
180,CUPNXX-ID181,LPLihMXi,43%,2025-11-13,Active
181,CUPNXX-ID182,oTL7hUCP,29%,2025-11-17,Active
182,CUPNXX-ID183,BS6iX0H0,31%,2025-11-24,Used
183,CUPNXX-ID184,7ZrBeuaZ,19%,2024-06-05,Active
184,CUPNXX-ID185,qI-LOnNP,36%,2024-09-22,Unused
185,CUPNXX-ID186,xAfbaNJ2,38%,2025-06-28,Unused
186,CUPNXX-ID187,Uz6SnVY8,29%,2025-05-02,Unused
187,CUPNXX-ID188,xAfbaNJ2,27%,2024-04-22,Unused
188,CUPNXX-ID189,26WIPeOm,12%,2025-06-11,Used
189,CUPNXX-ID190,av0MmDHl,22%,2025-10-12,Active
190,CUPNXX-ID191,4GhUfOIC,4%,2025-11-13,Active
191,CUPNXX-ID192,7hq82lNh,45%,2025-03-29,Unused
192,CUPNXX-ID193,bZVauVRq,6%,2024-10-05,Unused
193,CUPNXX-ID194,FnNbj3WT,30%,2025-02-21,Active
194,CUPNXX-ID195,qI-LOnNP,43%,2025-08-23,Active
195,CUPNXX-ID196,26WIPeOm,41%,2025-03-21,Used
196,CUPNXX-ID197,I-Kbebw-,24%,2025-01-31,Active
197,CUPNXX-ID198,w7rTDJBF,16%,2024-05-10,Unused
198,CUPNXX-ID199,ya8fRiHn,32%,2025-04-21,Unused
199,CUPNXX-ID200,aqKkEP7q,8%,2025-10-11,Active
200,CUPNXX-ID201,4GhUfOIC,38%,2024-05-21,Used
201,CUPNXX-ID202,pgbqr5iA,18%,2025-02-18,Active
202,CUPNXX-ID203,pUklKslA,9%,2024-06-22,Active
203,CUPNXX-ID204,km5XwyGy,12%,2024-08-07,Unused
204,CUPNXX-ID205,3CJLjozf,27%,2024-11-25,Unused
205,CUPNXX-ID206,bZVauVRq,22%,2025-04-21,Used
206,CUPNXX-ID207,UwrUxelq,11%,2025-03-09,Active
207,CUPNXX-ID208,aqKkEP7q,25%,2025-12-27,Unused
208,CUPNXX-ID209,etXMIli-,13%,2024-06-27,Active
209,CUPNXX-ID210,U8gGPyv1,10%,2024-04-21,Unused
210,CUPNXX-ID211,oTL7hUCP,29%,2026-01-06,Used
211,CUPNXX-ID212,U8gGPyv1,29%,2026-01-19,Unused
212,CUPNXX-ID213,I-Kbebw-,45%,2026-01-07,Active
213,CUPNXX-ID214,w7rTDJBF,23%,2024-07-15,Active
214,CUPNXX-ID215,i8qksTR7,9%,2024-11-18,Unused
215,CUPNXX-ID216,BcO91S2L,50%,2025-10-19,Unused
216,CUPNXX-ID217,#NAME?,35%,2024-11-29,Unused
217,CUPNXX-ID218,YJ_RtCzG,10%,2025-10-21,Active
218,CUPNXX-ID219,FnNbj3WT,31%,2024-06-12,Used
219,CUPNXX-ID220,km5XwyGy,44%,2024-07-08,Used
220,CUPNXX-ID221,YJ_RtCzG,23%,2026-01-16,Active
221,CUPNXX-ID222,FnNbj3WT,29%,2025-10-14,Active
222,CUPNXX-ID223,pgbqr5iA,9%,2024-12-28,Used
223,CUPNXX-ID224,Uz6SnVY8,6%,2025-12-23,Used
224,CUPNXX-ID225,BcO91S2L,6%,2024-12-06,Unused
225,CUPNXX-ID226,EBuTFmsA,24%,2024-11-22,Used
226,CUPNXX-ID227,etXMIli-,37%,2024-07-15,Used
227,CUPNXX-ID228,BS6iX0H0,41%,2025-01-11,Used
228,CUPNXX-ID229,aqKkEP7q,7%,2025-09-20,Used
229,CUPNXX-ID230,050Tnf9z,14%,2025-11-10,Used
230,CUPNXX-ID231,4GhUfOIC,37%,2025-06-03,Active
231,CUPNXX-ID232,w7rTDJBF,45%,2025-08-19,Active
232,CUPNXX-ID233,eKAbZjaL,23%,2025-08-17,Used
233,CUPNXX-ID234,I-Kbebw-,7%,2025-02-21,Active
234,CUPNXX-ID235,7zwKWCsI,32%,2025-12-26,Used
235,CUPNXX-ID236,bsbAexn6,10%,2025-02-06,Active
236,CUPNXX-ID237,QcP3Lwt7,49%,2026-01-21,Unused
237,CUPNXX-ID238,hco6BTAp,42%,2024-09-11,Used
238,CUPNXX-ID239,C9uHmutp,40%,2025-09-22,Unused
239,CUPNXX-ID240,vq8a5G9r,16%,2024-11-04,Used
240,CUPNXX-ID241,FnNbj3WT,28%,2024-06-08,Unused
241,CUPNXX-ID242,pgbqr5iA,17%,2024-08-23,Unused
242,CUPNXX-ID243,Uz6SnVY8,27%,2025-12-25,Used
243,CUPNXX-ID244,Uz6SnVY8,6%,2025-11-13,Used
244,CUPNXX-ID245,vq8a5G9r,48%,2025-11-14,Unused
245,CUPNXX-ID246,hco6BTAp,39%,2025-03-24,Active
246,CUPNXX-ID247,fS-iX2A9,38%,2025-06-06,Used
247,CUPNXX-ID248,KvoDl0Qo,41%,2025-12-31,Unused
248,CUPNXX-ID249,QcP3Lwt7,39%,2024-04-07,Used
249,CUPNXX-ID250,U8gGPyv1,13%,2025-07-17,Unused
250,CUPNXX-ID251,7ZrBeuaZ,12%,2024-12-17,Used
251,CUPNXX-ID252,3CJLjozf,45%,2026-01-22,Unused
252,CUPNXX-ID253,qI-LOnNP,38%,2025-06-24,Used
253,CUPNXX-ID254,KLRyJRFm,50%,2025-03-30,Used
254,CUPNXX-ID255,BcO91S2L,49%,2024-05-29,Unused
255,CUPNXX-ID256,xAfbaNJ2,34%,2024-07-14,Used
256,CUPNXX-ID257,U8gGPyv1,31%,2026-01-05,Used
257,CUPNXX-ID258,qI-LOnNP,19%,2024-12-12,Active
258,CUPNXX-ID259,f959hraT,38%,2025-01-21,Used
259,CUPNXX-ID260,hco6BTAp,40%,2025-06-26,Active
260,CUPNXX-ID261,eKAbZjaL,14%,2026-02-02,Active
261,CUPNXX-ID262,KLRyJRFm,12%,2025-11-24,Unused
262,CUPNXX-ID263,UwrUxelq,26%,2025-04-18,Used
263,CUPNXX-ID264,i8qksTR7,6%,2025-12-28,Active
264,CUPNXX-ID265,pUklKslA,29%,2025-12-29,Used
265,CUPNXX-ID266,YuC2cYFU,13%,2025-03-03,Used
266,CUPNXX-ID267,_8_zA-j4,24%,2025-04-05,Unused
267,CUPNXX-ID268,km5XwyGy,15%,2025-05-02,Used
268,CUPNXX-ID269,bsbAexn6,14%,2024-11-29,Unused
269,CUPNXX-ID270,pgbqr5iA,16%,2024-12-12,Active
270,CUPNXX-ID271,I-Kbebw-,37%,2025-01-12,Active
271,CUPNXX-ID272,KvoDl0Qo,45%,2025-07-31,Used
272,CUPNXX-ID273,#NAME?,46%,2024-11-17,Active
273,CUPNXX-ID274,FnNbj3WT,37%,2024-12-13,Active
274,CUPNXX-ID275,4GhUfOIC,26%,2025-08-16,Unused
275,CUPNXX-ID276,a5pqIIA3,24%,2024-04-05,Used
276,CUPNXX-ID277,etXMIli-,7%,2024-08-26,Active
277,CUPNXX-ID278,fS-iX2A9,19%,2025-08-20,Used
278,CUPNXX-ID279,hco6BTAp,38%,2024-04-12,Active
279,CUPNXX-ID280,LPLihMXi,38%,2025-02-28,Used
280,CUPNXX-ID281,plpAQqfp,13%,2024-12-07,Unused
281,CUPNXX-ID282,fS-iX2A9,40%,2025-01-28,Active
282,CUPNXX-ID283,U8gGPyv1,5%,2024-12-10,Active
283,CUPNXX-ID284,bsbAexn6,13%,2024-07-19,Used
284,CUPNXX-ID285,i8qksTR7,17%,2024-05-28,Active
285,CUPNXX-ID286,qI-LOnNP,22%,2025-07-14,Active
286,CUPNXX-ID287,FnNbj3WT,5%,2025-05-25,Unused
287,CUPNXX-ID288,etXMIli-,33%,2025-11-01,Active
288,CUPNXX-ID289,aqKkEP7q,34%,2024-09-19,Active
289,CUPNXX-ID290,#NAME?,7%,2024-09-10,Unused
290,CUPNXX-ID291,vq8a5G9r,22%,2024-03-31,Used
291,CUPNXX-ID292,plpAQqfp,46%,2025-05-11,Used
292,CUPNXX-ID293,bZVauVRq,16%,2025-09-24,Active
293,CUPNXX-ID294,f959hraT,34%,2024-05-18,Active
294,CUPNXX-ID295,km5XwyGy,17%,2026-01-02,Unused
295,CUPNXX-ID296,ya8fRiHn,33%,2024-10-11,Used
296,CUPNXX-ID297,i8qksTR7,19%,2025-11-05,Active
297,CUPNXX-ID298,Uz6SnVY8,45%,2025-08-27,Unused
298,CUPNXX-ID299,eKAbZjaL,29%,2024-09-11,Unused
299,CUPNXX-ID300,KLRyJRFm,48%,2024-12-08,Active
300,CUPNXX-ID301,U8gGPyv1,32%,2024-09-09,Unused
301,CUPNXX-ID302,pgbqr5iA,25%,2024-07-16,Active
302,CUPNXX-ID303,i8qksTR7,36%,2024-11-21,Active
303,CUPNXX-ID304,ya8fRiHn,4%,2025-06-06,Used
304,CUPNXX-ID305,YJ_RtCzG,35%,2026-01-20,Active
305,CUPNXX-ID306,eKAbZjaL,18%,2024-08-06,Active
306,CUPNXX-ID307,km5XwyGy,26%,2025-11-19,Unused
307,CUPNXX-ID308,BcO91S2L,33%,2024-06-10,Unused
308,CUPNXX-ID309,w7rTDJBF,40%,2025-01-22,Active
309,CUPNXX-ID310,YuC2cYFU,17%,2025-04-12,Unused
310,CUPNXX-ID311,fS-iX2A9,15%,2025-05-03,Used
311,CUPNXX-ID312,4GhUfOIC,45%,2024-05-07,Unused
312,CUPNXX-ID313,aqKkEP7q,12%,2025-10-08,Active
313,CUPNXX-ID314,fS-iX2A9,19%,2024-12-23,Used
314,CUPNXX-ID315,pgbqr5iA,39%,2025-11-12,Used
315,CUPNXX-ID316,km5XwyGy,12%,2024-04-22,Active
316,CUPNXX-ID317,oTL7hUCP,24%,2024-12-15,Active
317,CUPNXX-ID318,w7rTDJBF,33%,2024-04-26,Used
318,CUPNXX-ID319,QcP3Lwt7,24%,2026-01-14,Used
319,CUPNXX-ID320,ya8fRiHn,17%,2026-03-20,Used
320,CUPNXX-ID321,nwQoyKYd,35%,2024-07-06,Active
321,CUPNXX-ID322,LPLihMXi,41%,2024-09-03,Used
322,CUPNXX-ID323,oTL7hUCP,26%,2026-03-06,Unused
323,CUPNXX-ID324,ya8fRiHn,11%,2025-04-03,Active
324,CUPNXX-ID325,qI-LOnNP,7%,2025-05-12,Unused
325,CUPNXX-ID326,yWYOpTus,22%,2024-03-28,Used
326,CUPNXX-ID327,eKAbZjaL,9%,2024-05-19,Unused
327,CUPNXX-ID328,KLRyJRFm,37%,2025-01-15,Active
328,CUPNXX-ID329,etXMIli-,46%,2025-10-11,Unused
329,CUPNXX-ID330,Uz6SnVY8,39%,2025-05-09,Active
330,CUPNXX-ID331,nwQoyKYd,30%,2024-11-08,Used
331,CUPNXX-ID332,w7rTDJBF,31%,2024-08-26,Active
332,CUPNXX-ID333,_8_zA-j4,14%,2025-09-03,Unused
333,CUPNXX-ID334,bZVauVRq,10%,2025-12-05,Unused
334,CUPNXX-ID335,qI-LOnNP,42%,2026-01-08,Active
335,CUPNXX-ID336,Uz6SnVY8,42%,2025-07-13,Used
336,CUPNXX-ID337,av0MmDHl,46%,2025-03-19,Used
337,CUPNXX-ID338,yWYOpTus,41%,2024-06-29,Active
338,CUPNXX-ID339,3CJLjozf,23%,2025-10-07,Used
339,CUPNXX-ID340,aqKkEP7q,49%,2024-08-25,Unused
340,CUPNXX-ID341,pUklKslA,27%,2025-11-11,Unused
341,CUPNXX-ID342,BcO91S2L,30%,2024-08-09,Active
342,CUPNXX-ID343,#NAME?,24%,2025-03-01,Active
343,CUPNXX-ID344,a5pqIIA3,43%,2025-08-20,Used
344,CUPNXX-ID345,FnNbj3WT,22%,2026-01-11,Active
345,CUPNXX-ID346,pUklKslA,47%,2026-03-20,Active
346,CUPNXX-ID347,QcP3Lwt7,25%,2026-01-03,Used
347,CUPNXX-ID348,UwrUxelq,30%,2025-09-02,Unused
348,CUPNXX-ID349,KLRyJRFm,36%,2026-01-11,Used
349,CUPNXX-ID350,QcP3Lwt7,27%,2025-07-25,Unused
350,CUPNXX-ID351,xAfbaNJ2,38%,2025-06-18,Active
351,CUPNXX-ID352,nwQoyKYd,19%,2025-07-01,Active
352,CUPNXX-ID353,_8_zA-j4,18%,2024-08-07,Unused
353,CUPNXX-ID354,C9uHmutp,13%,2024-04-15,Unused
354,CUPNXX-ID355,7hq82lNh,28%,2025-08-05,Unused
355,CUPNXX-ID356,oTL7hUCP,19%,2024-08-07,Used
356,CUPNXX-ID357,a5pqIIA3,13%,2026-01-21,Used
357,CUPNXX-ID358,#NAME?,41%,2025-03-06,Unused
358,CUPNXX-ID359,#NAME?,9%,2024-07-06,Active
359,CUPNXX-ID360,w7rTDJBF,27%,2026-01-10,Active
360,CUPNXX-ID361,yWYOpTus,12%,2025-12-09,Unused
361,CUPNXX-ID362,a5pqIIA3,18%,2024-08-28,Active
362,CUPNXX-ID363,cJOrLxto,12%,2025-05-17,Used
363,CUPNXX-ID364,km5XwyGy,29%,2024-07-25,Active
364,CUPNXX-ID365,3CJLjozf,14%,2024-07-02,Active
365,CUPNXX-ID366,bZVauVRq,26%,2025-04-22,Active
366,CUPNXX-ID367,cJOrLxto,32%,2025-11-28,Unused
367,CUPNXX-ID368,qI-LOnNP,17%,2024-06-01,Unused
368,CUPNXX-ID369,f959hraT,12%,2024-09-01,Used
369,CUPNXX-ID370,7zwKWCsI,42%,2024-05-17,Unused
370,CUPNXX-ID371,hco6BTAp,15%,2024-05-29,Used
371,CUPNXX-ID372,pUklKslA,41%,2025-05-26,Active
372,CUPNXX-ID373,eKAbZjaL,42%,2025-06-24,Active
373,CUPNXX-ID374,#NAME?,33%,2024-08-11,Active
374,CUPNXX-ID375,YuC2cYFU,16%,2025-07-13,Unused
375,CUPNXX-ID376,QcP3Lwt7,35%,2025-02-04,Active
376,CUPNXX-ID377,bZVauVRq,45%,2026-02-19,Unused
377,CUPNXX-ID378,vq8a5G9r,36%,2025-11-01,Used
378,CUPNXX-ID379,YuC2cYFU,14%,2025-02-15,Active
379,CUPNXX-ID380,aqKkEP7q,45%,2026-02-08,Unused
380,CUPNXX-ID381,av0MmDHl,50%,2024-11-07,Used
381,CUPNXX-ID382,3CJLjozf,18%,2026-03-17,Active
382,CUPNXX-ID383,ya8fRiHn,14%,2024-10-24,Active
383,CUPNXX-ID384,av0MmDHl,4%,2025-11-02,Used
384,CUPNXX-ID385,cJOrLxto,41%,2025-11-24,Unused
385,CUPNXX-ID386,i8qksTR7,46%,2024-10-25,Unused
386,CUPNXX-ID387,EBuTFmsA,19%,2024-04-02,Unused
387,CUPNXX-ID388,qI-LOnNP,19%,2024-08-25,Active
388,CUPNXX-ID389,EBuTFmsA,19%,2025-12-18,Used
389,CUPNXX-ID390,w7rTDJBF,31%,2025-10-24,Unused
390,CUPNXX-ID391,pUklKslA,7%,2025-05-21,Used
391,CUPNXX-ID392,xAfbaNJ2,46%,2024-06-03,Unused
392,CUPNXX-ID393,KvoDl0Qo,32%,2026-03-04,Used
393,CUPNXX-ID394,etXMIli-,6%,2025-05-19,Unused
394,CUPNXX-ID395,3CJLjozf,11%,2026-01-21,Used
395,CUPNXX-ID396,aqKkEP7q,4%,2025-03-18,Active
396,CUPNXX-ID397,bZVauVRq,45%,2025-03-17,Used
397,CUPNXX-ID398,C9uHmutp,26%,2024-05-09,Used
398,CUPNXX-ID399,ya8fRiHn,36%,2025-12-11,Unused
